"Date","P/E","P/B","Div Yield %"
"04 Nov 2015","21.87","3.22","1.42"
"03 Nov 2015","22.02","3.23","1.41"
"02 Nov 2015","21.98","3.22","1.42"
"30 Oct 2015","22.06","3.23","1.41"
"29 Oct 2015","22.19","3.25","1.41"
"28 Oct 2015","22.2","3.27","1.4"
"27 Oct 2015","22.39","3.3","1.39"
"26 Oct 2015","22.45","3.3","1.38"
"23 Oct 2015","22.55","3.32","1.38"
"21 Oct 2015","22.48","3.3","1.38"
"20 Oct 2015","22.51","3.31","1.38"
"19 Oct 2015","22.61","3.31","1.38"
"16 Oct 2015","22.51","3.3","1.38"
"15 Oct 2015","22.35","3.3","1.39"
"14 Oct 2015","22.16","3.27","1.4"
"13 Oct 2015","22.25","3.28","1.4"
"12 Oct 2015","22.73","3.28","1.39"
"09 Oct 2015","22.88","3.3","1.39"
"08 Oct 2015","22.71","3.28","1.4"
"07 Oct 2015","22.84","3.3","1.39"
"06 Oct 2015","22.78","3.29","1.39"
"05 Oct 2015","22.68","3.27","1.4"
"01 Oct 2015","22.21","3.2","1.43"
"30 Sep 2015","22.21","3.22","1.46"
"29 Sep 2015","21.91","3.18","1.48"
"28 Sep 2015","21.78","3.16","1.48"
"24 Sep 2015","21.81","3.17","1.5"
"23 Sep 2015","21.75","3.16","1.51"
"22 Sep 2015","21.65","3.15","1.51"
"21 Sep 2015","22.11","3.21","1.48"
"18 Sep 2015","22.12","3.21","1.48"
"16 Sep 2015","21.89","3.18","1.5"
"15 Sep 2015","21.7","3.15","1.51"
"14 Sep 2015","21.82","3.17","1.5"
"11 Sep 2015","21.59","3.14","1.52"
"10 Sep 2015","21.59","3.14","1.52"
"09 Sep 2015","21.67","3.15","1.51"
"08 Sep 2015","21.31","3.1","1.54"
"07 Sep 2015","20.95","3.04","1.56"
"04 Sep 2015","21.21","3.08","1.54"
"03 Sep 2015","21.68","3.15","1.51"
"02 Sep 2015","21.38","3.11","1.53"
"01 Sep 2015","21.57","3.13","1.52"
"31 Aug 2015","22.08","3.21","1.48"
"28 Aug 2015","22.17","3.22","1.48"
"27 Aug 2015","22.02","3.22","1.48"
"26 Aug 2015","21.59","3.15","1.51"
"25 Aug 2015","21.83","3.19","1.5"
"24 Aug 2015","21.63","3.16","1.51"
"21 Aug 2015","22.99","3.36","1.42"
"20 Aug 2015","23.19","3.39","1.44"
"19 Aug 2015","23.53","3.44","1.42"
"18 Aug 2015","23.45","3.43","1.43"
"17 Aug 2015","23.48","3.44","1.43"
"14 Aug 2015","23.69","3.45","1.42"
"13 Aug 2015","23.16","3.41","1.44"
"12 Aug 2015","23.1","3.4","1.44"
"11 Aug 2015","23.38","3.45","1.42"
"10 Aug 2015","23.54","3.48","1.41"
"07 Aug 2015","23.61","3.49","1.4"
"06 Aug 2015","23.67","3.52","1.4"
"05 Aug 2015","23.62","3.51","1.41"
"04 Aug 2015","23.48","3.49","1.42"
"03 Aug 2015","23.54","3.5","1.41"
"31 Jul 2015","23.53","3.5","1.41"
"30 Jul 2015","23.23","3.44","1.45"
"29 Jul 2015","23.08","3.42","1.45"
"28 Jul 2015","23.02","3.41","1.46"
"27 Jul 2015","23.21","3.42","1.46"
"24 Jul 2015","23.65","3.48","1.43"
"23 Jul 2015","23.84","3.52","1.42"
"22 Jul 2015","23.96","3.54","1.41"
"21 Jul 2015","23.68","3.5","1.43"
"20 Jul 2015","23.88","3.53","1.42"
"17 Jul 2015","23.87","3.52","1.42"
"16 Jul 2015","23.86","3.55","1.41"
"15 Jul 2015","23.63","3.51","1.43"
"14 Jul 2015","23.44","3.48","1.44"
"13 Jul 2015","23.45","3.49","1.44"
"10 Jul 2015","23.17","3.44","1.45"
"09 Jul 2015","23.08","3.46","1.45"
"08 Jul 2015","23.18","3.47","1.45"
"07 Jul 2015","23.59","3.54","1.42"
"06 Jul 2015","23.62","3.54","1.42"
"03 Jul 2015","23.52","3.52","1.43"
"02 Jul 2015","23.4","3.51","1.42"
"01 Jul 2015","23.43","3.52","1.42"
"30 Jun 2015","23.19","3.48","1.44"
"29 Jun 2015","23.05","3.53","1.43"
"26 Jun 2015","23.23","3.56","1.42"
"25 Jun 2015","23.27","3.58","1.41"
"24 Jun 2015","23.17","3.56","1.42"
"23 Jun 2015","23.23","3.57","1.41"
"22 Jun 2015","23.15","3.56","1.42"
"19 Jun 2015","22.79","3.5","1.44"
"18 Jun 2015","22.66","3.48","1.45"
"17 Jun 2015","22.43","3.44","1.47"
"16 Jun 2015","22.3","3.42","1.48"
"15 Jun 2015","22.21","3.41","1.48"
"12 Jun 2015","22.12","3.4","1.49"
"11 Jun 2015","22.08","3.41","1.48"
"10 Jun 2015","22.52","3.48","1.45"
"09 Jun 2015","22.23","3.44","1.47"
"08 Jun 2015","22.29","3.44","1.47"
"05 Jun 2015","22.49","3.47","1.45"
"04 Jun 2015","22.53","3.52","1.45"
"03 Jun 2015","22.41","3.53","1.45"
"02 Jun 2015","22.71","3.57","1.43"
"01 Jun 2015","23.25","3.65","1.39"
"29 May 2015","23.12","3.66","1.39"
"28 May 2015","22.61","3.56","1.42"
"27 May 2015","22.6","3.57","1.42"
"26 May 2015","22.55","3.57","1.42"
"25 May 2015","22.64","3.58","1.41"
"22 May 2015","22.94","3.62","1.4"
"21 May 2015","22.67","3.65","1.4"
"20 May 2015","22.69","3.65","1.4"
"19 May 2015","22.55","3.62","1.41"
"18 May 2015","22.57","3.63","1.41"
"15 May 2015","22.24","3.58","1.43"
"14 May 2015","22.14","3.56","1.44"
"13 May 2015","22.17","3.58","1.43"
"12 May 2015","21.92","3.53","1.45"
"11 May 2015","22.41","3.62","1.42"
"08 May 2015","21.92","3.53","1.45"
"07 May 2015","21.61","3.47","1.47"
"06 May 2015","21.71","3.49","1.47"
"05 May 2015","22.45","3.59","1.43"
"04 May 2015","22.47","3.59","1.43"
"30 Apr 2015","22.07","3.53","1.45"
"29 Apr 2015","22.29","3.57","1.4"
"28 Apr 2015","22.46","3.59","1.39"
"27 Apr 2015","22.26","3.56","1.4"
"24 Apr 2015","22.34","3.58","1.4"
"23 Apr 2015","22.5","3.62","1.3"
"22 Apr 2015","22.59","3.63","1.29"
"21 Apr 2015","22.44","3.61","1.3"
"20 Apr 2015","22.64","3.64","1.29"
"17 Apr 2015","23.06","3.71","1.27"
"16 Apr 2015","23.33","3.75","1.25"
"15 Apr 2015","23.43","3.77","1.25"
"13 Apr 2015","23.66","3.81","1.23"
"10 Apr 2015","23.51","3.78","1.24"
"09 Apr 2015","23.5","3.78","1.24"
"08 Apr 2015","23.33","3.75","1.25"
"07 Apr 2015","23.19","3.73","1.25"
"06 Apr 2015","23.18","3.73","1.26"
"01 Apr 2015","22.95","3.69","1.27"
"31 Mar 2015","22.7","3.65","1.28"
"30 Mar 2015","22.7","3.65","1.28"
"27 Mar 2015","22.3","3.59","1.3"
"26 Mar 2015","22.36","3.55","1.32"
"25 Mar 2015","22.87","3.63","1.29"
"24 Mar 2015","22.9","3.64","1.29"
"23 Mar 2015","22.92","3.64","1.28"
"20 Mar 2015","22.98","3.65","1.28"
"19 Mar 2015","23.15","3.68","1.27"
"18 Mar 2015","23.29","3.7","1.26"
"17 Mar 2015","23.39","3.71","1.26"
"16 Mar 2015","23.14","3.68","1.27"
"13 Mar 2015","23.18","3.68","1.27"
"12 Mar 2015","23.53","3.74","1.25"
"11 Mar 2015","23.32","3.7","1.26"
"10 Mar 2015","23.36","3.71","1.26"
"09 Mar 2015","23.48","3.73","1.25"
"05 Mar 2015","23.9","3.8","1.23"
"04 Mar 2015","23.86","3.79","1.23"
"03 Mar 2015","24.06","3.82","1.22"
"02 Mar 2015","23.95","3.8","1.23"
"28 Feb 2015","23.8","3.78","1.24"
"27 Feb 2015","23.65","3.76","1.24"
"26 Feb 2015","23.22","3.69","1.27"
"25 Feb 2015","23.44","3.72","1.26"
"24 Feb 2015","23.43","3.72","1.26"
"23 Feb 2015","23.41","3.72","1.26"
"20 Feb 2015","23.62","3.75","1.25"
"19 Feb 2015","23.76","3.78","1.24"
"18 Feb 2015","23.28","3.77","1.24"
"16 Feb 2015","23.22","3.74","1.25"
"13 Feb 2015","23.31","3.71","1.2"
"12 Feb 2015","23.07","3.67","1.21"
"11 Feb 2015","22.85","3.64","1.22"
"10 Feb 2015","22.69","3.61","1.23"
"09 Feb 2015","22.59","3.59","1.24"
"06 Feb 2015","22.44","3.65","1.22"
"05 Feb 2015","22.57","3.67","1.21"
"04 Feb 2015","22.53","3.68","1.21"
"03 Feb 2015","22.42","3.69","1.21"
"02 Feb 2015","22.51","3.71","1.2"
"30 Jan 2015","22.48","3.71","1.2"
"29 Jan 2015","22.84","3.77","1.18"
"28 Jan 2015","22.67","3.76","1.18"
"27 Jan 2015","22.67","3.76","1.18"
"23 Jan 2015","22.48","3.73","1.19"
"22 Jan 2015","22.25","3.69","1.2"
"21 Jan 2015","22.21","3.68","1.21"
"20 Jan 2015","22.16","3.67","1.21"
"19 Jan 2015","21.8","3.6","1.23"
"16 Jan 2015","21.75","3.59","1.24"
"15 Jan 2015","21.7","3.58","1.24"
"14 Jan 2015","21.14","3.49","1.27"
"13 Jan 2015","21.21","3.5","1.27"
"12 Jan 2015","21.27","3.51","1.27"
"09 Jan 2015","21.16","3.49","1.27"
"08 Jan 2015","21.04","3.47","1.28"
"07 Jan 2015","20.7","3.41","1.3"
"06 Jan 2015","20.76","3.42","1.3"
"05 Jan 2015","21.4","3.53","1.26"
"02 Jan 2015","21.45","3.54","1.26"
"01 Jan 2015","21.16","3.49","1.27"
"31 Dec 2014","21.16","3.49","1.27"
"30 Dec 2014","21.07","3.48","1.28"
"29 Dec 2014","21.07","3.47","1.28"
"26 Dec 2014","20.95","3.46","1.29"
"24 Dec 2014","20.88","3.45","1.29"
"23 Dec 2014","21.12","3.49","1.28"
"22 Dec 2014","21.27","3.52","1.27"
"19 Dec 2014","21.01","3.48","1.29"
"18 Dec 2014","20.85","3.45","1.3"
"17 Dec 2014","20.51","3.39","1.32"
"16 Dec 2014","20.61","3.41","1.31"
"15 Dec 2014","21","3.47","1.29"
"12 Dec 2014","21.01","3.47","1.29"
"11 Dec 2014","21.19","3.5","1.27"
"10 Dec 2014","21.35","3.53","1.27"
"09 Dec 2014","21.31","3.52","1.27"
"08 Dec 2014","21.56","3.57","1.25"
"05 Dec 2014","21.81","3.61","1.24"
"04 Dec 2014","21.87","3.62","1.23"
"03 Dec 2014","21.81","3.61","1.24"
"02 Dec 2014","21.77","3.6","1.24"
"01 Dec 2014","21.85","3.61","1.24"
"28 Nov 2014","21.94","3.63","1.23"
"27 Nov 2014","21.7","3.59","1.25"
"26 Nov 2014","21.65","3.58","1.25"
"25 Nov 2014","21.61","3.57","1.25"
"24 Nov 2014","21.78","3.6","1.24"
"21 Nov 2014","21.7","3.58","1.25"
"20 Nov 2014","21.51","3.55","1.26"
"19 Nov 2014","21.33","3.54","1.26"
"18 Nov 2014","21.47","3.56","1.26"
"17 Nov 2014","21.45","3.56","1.25"
"14 Nov 2014","21.35","3.54","1.26"
"13 Nov 2014","21.26","3.53","1.27"
"12 Nov 2014","21.33","3.54","1.26"
"11 Nov 2014","21.29","3.53","1.27"
"10 Nov 2014","21.24","3.52","1.27"
"07 Nov 2014","21.31","3.52","1.27"
"05 Nov 2014","21.54","3.52","1.27"
"03 Nov 2014","21.58","3.51","1.27"
"31 Oct 2014","21.58","3.51","1.27"
"30 Oct 2014","21.16","3.46","1.29"
"29 Oct 2014","20.92","3.43","1.31"
"28 Oct 2014","20.75","3.4","1.32"
"27 Oct 2014","20.64","3.39","1.32"
"23 Oct 2014","20.7","3.4","1.32"
"22 Oct 2014","20.65","3.39","1.32"
"21 Oct 2014","20.53","3.36","1.33"
"20 Oct 2014","20.47","3.34","1.34"
"17 Oct 2014","20.21","3.3","1.36"
"16 Oct 2014","20.13","3.28","1.36"
"14 Oct 2014","20.41","3.33","1.34"
"13 Oct 2014","20.47","3.34","1.34"
"10 Oct 2014","20.55","3.33","1.35"
"09 Oct 2014","20.81","3.37","1.33"
"08 Oct 2014","20.5","3.34","1.34"
"07 Oct 2014","20.53","3.36","1.34"
"01 Oct 2014","20.77","3.4","1.32"
"30 Sep 2014","20.82","3.43","1.31"
"29 Sep 2014","20.81","3.44","1.32"
"26 Sep 2014","20.83","3.45","1.31"
"25 Sep 2014","20.68","3.43","1.33"
"24 Sep 2014","20.92","3.48","1.31"
"23 Sep 2014","20.96","3.5","1.27"
"22 Sep 2014","21.3","3.56","1.25"
"19 Sep 2014","21.23","3.55","1.25"
"18 Sep 2014","21.58","3.53","1.25"
"17 Sep 2014","21.21","3.47","1.27"
"16 Sep 2014","21.09","3.45","1.28"
"15 Sep 2014","21.38","3.5","1.26"
"12 Sep 2014","21.55","3.53","1.25"
"11 Sep 2014","21.5","3.52","1.25"
"10 Sep 2014","21.52","3.52","1.25"
"09 Sep 2014","21.68","3.55","1.24"
"08 Sep 2014","21.73","3.56","1.24"
"05 Sep 2014","21.15","3.52","1.25"
"04 Sep 2014","21.17","3.52","1.25"
"03 Sep 2014","21.22","3.53","1.25"
"02 Sep 2014","21.14","3.52","1.25"
"01 Sep 2014","20.99","3.49","1.26"
"28 Aug 2014","20.8","3.46","1.27"
"27 Aug 2014","20.75","3.45","1.28"
"26 Aug 2014","20.67","3.44","1.28"
"25 Aug 2014","20.67","3.44","1.28"
"22 Aug 2014","20.69","3.44","1.28"
"21 Aug 2014","20.63","3.43","1.29"
"20 Aug 2014","20.58","3.43","1.29"
"19 Aug 2014","20.63","3.44","1.28"
"18 Aug 2014","20.57","3.43","1.29"
"14 Aug 2014","20.45","3.39","1.3"
"13 Aug 2014","20.31","3.37","1.31"
"12 Aug 2014","20.26","3.36","1.31"
"11 Aug 2014","20","3.32","1.33"
"08 Aug 2014","19.93","3.29","1.34"
"07 Aug 2014","20.14","3.35","1.32"
"06 Aug 2014","20.2","3.4","1.32"
"05 Aug 2014","20.43","3.48","1.3"
"04 Aug 2014","20.26","3.46","1.31"
"01 Aug 2014","20.05","3.42","1.32"
"31 Jul 2014","20.56","3.48","1.3"
"30 Jul 2014","20.78","3.54","1.27"
"28 Jul 2014","20.66","3.53","1.27"
"25 Jul 2014","20.79","3.55","1.26"
"24 Jul 2014","20.92","3.57","1.25"
"23 Jul 2014","20.82","3.56","1.26"
"22 Jul 2014","20.78","3.54","1.26"
"21 Jul 2014","20.58","3.51","1.28"
"18 Jul 2014","20.6","3.5","1.28"
"17 Jul 2014","20.62","3.49","1.28"
"16 Jul 2014","20.57","3.48","1.29"
"15 Jul 2014","20.31","3.44","1.3"
"14 Jul 2014","20.12","3.41","1.31"
"11 Jul 2014","20.12","3.41","1.31"
"10 Jul 2014","20.48","3.46","1.3"
"09 Jul 2014","20.54","3.46","1.29"
"08 Jul 2014","20.64","3.48","1.29"
"07 Jul 2014","21.08","3.56","1.26"
"04 Jul 2014","20.99","3.54","1.26"
"03 Jul 2014","20.93","3.52","1.27"
"02 Jul 2014","20.96","3.53","1.27"
"01 Jul 2014","20.71","3.49","1.28"
"30 Jun 2014","20.65","3.48","1.29"
"27 Jun 2014","20.37","3.43","1.31"
"26 Jun 2014","20.33","3.42","1.31"
"25 Jun 2014","20.53","3.46","1.29"
"24 Jun 2014","20.56","3.46","1.29"
"23 Jun 2014","20.33","3.42","1.31"
"20 Jun 2014","20.38","3.43","1.3"
"19 Jun 2014","20.52","3.44","1.3"
"18 Jun 2014","20.56","3.45","1.3"
"17 Jun 2014","20.76","3.48","1.28"
"16 Jun 2014","20.53","3.52","1.28"
"13 Jun 2014","20.55","3.52","1.28"
"12 Jun 2014","20.84","3.58","1.28"
"11 Jun 2014","20.78","3.56","1.28"
"10 Jun 2014","20.86","3.62","1.26"
"09 Jun 2014","20.85","3.62","1.26"
"06 Jun 2014","20.75","3.6","1.28"
"05 Jun 2014","20.6","3.55","1.29"
"04 Jun 2014","20.42","3.52","1.31"
"03 Jun 2014","20.46","3.52","1.3"
"02 Jun 2014","20.27","3.5","1.31"
"30 May 2014","19.82","3.43","1.34"
"29 May 2014","19.79","3.44","1.34"
"28 May 2014","20.22","3.48","1.32"
"27 May 2014","20.21","3.48","1.32"
"26 May 2014","20.32","3.49","1.31"
"23 May 2014","20.39","3.5","1.31"
"22 May 2014","20.14","3.46","1.33"
"21 May 2014","20.07","3.44","1.33"
"20 May 2014","20.21","3.46","1.33"
"19 May 2014","20.15","3.45","1.33"
"16 May 2014","19.93","3.42","1.34"
"15 May 2014","19.71","3.38","1.36"
"14 May 2014","19.67","3.38","1.36"
"13 May 2014","19.67","3.38","1.36"
"12 May 2014","19.47","3.33","1.38"
"09 May 2014","19.1","3.26","1.41"
"08 May 2014","18.52","3.17","1.45"
"07 May 2014","18.56","3.18","1.43"
"06 May 2014","18.74","3.21","1.41"
"05 May 2014","18.69","3.21","1.42"
"02 May 2014","18.72","3.2","1.42"
"30 Apr 2014","18.79","3.23","1.37"
"29 Apr 2014","18.88","3.24","1.37"
"28 Apr 2014","18.98","3.26","1.36"
"25 Apr 2014","19.04","3.27","1.36"
"23 Apr 2014","19.2","3.3","1.34"
"22 Apr 2014","19.13","3.29","1.35"
"21 Apr 2014","19.14","3.29","1.35"
"17 Apr 2014","19.04","3.27","1.36"
"16 Apr 2014","18.79","3.22","1.38"
"15 Apr 2014","18.95","3.25","1.37"
"11 Apr 2014","19.07","3.27","1.36"
"10 Apr 2014","19.12","3.28","1.35"
"09 Apr 2014","19.12","3.28","1.35"
"07 Apr 2014","18.84","3.23","1.37"
"04 Apr 2014","18.84","3.23","1.37"
"03 Apr 2014","18.95","3.25","1.37"
"02 Apr 2014","19","3.26","1.36"
"01 Apr 2014","18.91","3.24","1.37"
"31 Mar 2014","18.86","3.23","1.37"
"28 Mar 2014","18.84","3.23","1.37"
"27 Mar 2014","18.71","3.14","1.41"
"26 Mar 2014","18.59","3.12","1.42"
"25 Mar 2014","18.56","3.12","1.42"
"24 Mar 2014","18.54","3.12","1.42"
"22 Mar 2014","18.29","3.07","1.44"
"21 Mar 2014","18.29","3.07","1.44"
"20 Mar 2014","18.26","3.07","1.44"
"19 Mar 2014","18.38","3.09","1.43"
"18 Mar 2014","18.35","3.08","1.44"
"14 Mar 2014","18.31","3.08","1.44"
"13 Mar 2014","18.28","3.07","1.44"
"12 Mar 2014","18.35","3.08","1.44"
"11 Mar 2014","18.34","3.08","1.44"
"10 Mar 2014","18.41","3.09","1.43"
"07 Mar 2014","18.38","3.09","1.43"
"06 Mar 2014","18.02","3.03","1.46"
"05 Mar 2014","17.82","2.99","1.48"
"04 Mar 2014","17.73","2.98","1.49"
"03 Mar 2014","17.52","2.94","1.5"
"28 Feb 2014","17.67","2.97","1.49"
"26 Feb 2014","17.57","2.95","1.5"
"25 Feb 2014","17.46","2.93","1.51"
"24 Feb 2014","17.42","2.93","1.51"
"21 Feb 2014","17.33","2.91","1.52"
"20 Feb 2014","17.42","2.88","1.54"
"19 Feb 2014","17.59","2.91","1.52"
"18 Feb 2014","17.59","2.9","1.53"
"17 Feb 2014","17.28","2.87","1.54"
"14 Feb 2014","17.22","2.87","1.55"
"13 Feb 2014","17.09","2.84","1.56"
"12 Feb 2014","17.32","2.88","1.54"
"11 Feb 2014","17.26","2.87","1.54"
"10 Feb 2014","17.24","2.87","1.55"
"07 Feb 2014","17.25","2.87","1.54"
"06 Feb 2014","17.16","2.86","1.55"
"05 Feb 2014","17.41","2.85","1.56"
"04 Feb 2014","17.35","2.84","1.56"
"03 Feb 2014","17.34","2.84","1.56"
"31 Jan 2014","17.7","2.88","1.54"
"30 Jan 2014","17.65","2.87","1.54"
"29 Jan 2014","17.79","2.9","1.53"
"28 Jan 2014","17.82","2.9","1.53"
"27 Jan 2014","17.85","2.9","1.53"
"24 Jan 2014","18.25","2.97","1.49"
"23 Jan 2014","18.49","3","1.48"
"22 Jan 2014","18.45","3","1.48"
"21 Jan 2014","18.38","2.99","1.48"
"20 Jan 2014","18.35","2.99","1.49"
"17 Jan 2014","18.45","2.97","1.5"
"16 Jan 2014","18.63","3","1.48"
"15 Jan 2014","18.68","3","1.48"
"14 Jan 2014","18.44","2.96","1.5"
"13 Jan 2014","18.55","2.98","1.49"
"10 Jan 2014","18.24","2.93","1.52"
"09 Jan 2014","18.3","2.93","1.52"
"08 Jan 2014","18.32","2.93","1.52"
"07 Jan 2014","18.28","2.92","1.52"
"06 Jan 2014","18.37","2.94","1.51"
"03 Jan 2014","18.43","2.95","1.51"
"02 Jan 2014","18.46","2.95","1.5"
"01 Jan 2014","18.69","2.99","1.49"
"31 Dec 2013","18.7","2.99","1.48"
"30 Dec 2013","18.66","2.99","1.49"
"27 Dec 2013","18.75","3","1.48"
"26 Dec 2013","18.64","2.98","1.49"
"24 Dec 2013","18.61","2.98","1.49"
"23 Dec 2013","18.66","2.98","1.49"
"20 Dec 2013","18.63","2.98","1.49"
"19 Dec 2013","18.31","2.93","1.51"
"18 Dec 2013","18.46","2.95","1.5"
"17 Dec 2013","18.23","2.91","1.52"
"16 Dec 2013","18.27","2.92","1.52"
"13 Dec 2013","18.32","2.93","1.51"
"12 Dec 2013","18.52","2.96","1.5"
"11 Dec 2013","18.73","3","1.48"
"10 Dec 2013","18.8","3.01","1.47"
"09 Dec 2013","18.9","3.02","1.47"
"06 Dec 2013","18.58","2.97","1.49"
"05 Dec 2013","18.58","2.96","1.5"
"04 Dec 2013","18.34","2.92","1.52"
"03 Dec 2013","18.46","2.94","1.51"
"02 Dec 2013","18.51","2.95","1.5"
"29 Nov 2013","18.38","2.93","1.51"
"28 Nov 2013","18.13","2.89","1.53"
"27 Nov 2013","18.03","2.88","1.54"
"26 Nov 2013","17.94","2.88","1.53"
"25 Nov 2013","18.06","2.9","1.52"
"22 Nov 2013","17.71","2.85","1.55"
"21 Nov 2013","17.26","2.85","1.54"
"20 Nov 2013","17.61","2.91","1.51"
"19 Nov 2013","17.85","2.95","1.49"
"18 Nov 2013","17.76","2.95","1.49"
"14 Nov 2013","17.42","2.88","1.52"
"13 Nov 2013","17.23","2.85","1.54"
"12 Nov 2013","17.31","2.86","1.53"
"11 Nov 2013","17.48","2.89","1.52"
"08 Nov 2013","17.65","2.92","1.5"
"07 Nov 2013","17.78","2.94","1.49"
"06 Nov 2013","17.92","2.95","1.48"
"05 Nov 2013","18.06","2.97","1.47"
"03 Nov 2013","18.23","3","1.46"
"01 Nov 2013","18.2","3","1.46"
"31 Oct 2013","18.18","2.99","1.46"
"30 Oct 2013","18.04","2.97","1.47"
"29 Oct 2013","17.95","2.95","1.48"
"28 Oct 2013","17.61","2.9","1.51"
"25 Oct 2013","17.73","2.92","1.5"
"24 Oct 2013","17.79","2.93","1.5"
"23 Oct 2013","17.83","2.93","1.49"
"22 Oct 2013","18.01","2.95","1.49"
"21 Oct 2013","18.07","2.96","1.49"
"18 Oct 2013","18.02","2.95","1.49"
"17 Oct 2013","17.63","2.88","1.53"
"15 Oct 2013","17.85","2.9","1.52"
"14 Oct 2013","17.94","2.91","1.51"
"11 Oct 2013","17.88","2.9","1.52"
"10 Oct 2013","17.66","2.86","1.53"
"09 Oct 2013","17.62","2.86","1.54"
"08 Oct 2013","17.38","2.82","1.56"
"07 Oct 2013","17.32","2.81","1.56"
"04 Oct 2013","17.32","2.81","1.56"
"03 Oct 2013","17.33","2.82","1.54"
"01 Oct 2013","16.95","2.78","1.56"
"30 Sep 2013","16.82","2.77","1.56"
"27 Sep 2013","17.11","2.82","1.56"
"26 Sep 2013","17.1","2.79","1.55"
"25 Sep 2013","17.07","2.79","1.55"
"24 Sep 2013","17.13","2.79","1.51"
"23 Sep 2013","17.12","2.82","1.5"
"20 Sep 2013","17.47","2.88","1.47"
"19 Sep 2013","17.77","2.95","1.42"
"18 Sep 2013","17.15","2.86","1.49"
"17 Sep 2013","17","2.84","1.45"
"16 Sep 2013","16.98","2.85","1.45"
"13 Sep 2013","17","2.87","1.44"
"12 Sep 2013","17","2.89","1.44"
"11 Sep 2013","17.19","2.96","1.41"
"10 Sep 2013","17.14","2.95","1.42"
"06 Sep 2013","16.37","2.81","1.48"
"05 Sep 2013","16.12","2.77","1.51"
"04 Sep 2013","15.7","2.7","1.55"
"03 Sep 2013","15.4","2.65","1.58"
"02 Sep 2013","16","2.75","1.52"
"30 Aug 2013","15.77","2.71","1.54"
"29 Aug 2013","15.59","2.68","1.56"
"28 Aug 2013","15.23","2.62","1.6"
"27 Aug 2013","15.24","2.62","1.59"
"26 Aug 2013","15.8","2.71","1.54"
"23 Aug 2013","15.79","2.71","1.54"
"22 Aug 2013","15.6","2.68","1.56"
"21 Aug 2013","15.3","2.63","1.59"
"20 Aug 2013","15.58","2.68","1.56"
"19 Aug 2013","15.62","2.68","1.56"
"16 Aug 2013","16.35","2.73","1.53"
"14 Aug 2013","16.97","2.84","1.47"
"13 Aug 2013","16.84","2.82","1.48"
"12 Aug 2013","16.59","2.78","1.5"
"08 Aug 2013","16.5","2.76","1.51"
"07 Aug 2013","16.36","2.73","1.53"
"06 Aug 2013","16.51","2.75","1.52"
"05 Aug 2013","16.94","2.82","1.48"
"02 Aug 2013","16.88","2.81","1.48"
"01 Aug 2013","17.03","2.84","1.47"
"31 Jul 2013","17.05","2.84","1.47"
"30 Jul 2013","17.11","2.85","1.46"
"29 Jul 2013","17.31","2.93","1.44"
"26 Jul 2013","17.58","3.01","1.4"
"25 Jul 2013","17.68","3.02","1.4"
"24 Jul 2013","18.03","3.07","1.38"
"23 Jul 2013","18.32","3.11","1.36"
"22 Jul 2013","18.23","3.09","1.37"
"19 Jul 2013","18.3","3.09","1.37"
"18 Jul 2013","18.32","3.09","1.37"
"17 Jul 2013","18.18","3.06","1.38"
"16 Jul 2013","18.13","3.05","1.39"
"15 Jul 2013","18.36","3.09","1.37"
"12 Jul 2013","18.31","3.08","1.38"
"11 Jul 2013","18.09","3.04","1.39"
"10 Jul 2013","17.73","2.98","1.42"
"09 Jul 2013","17.85","3","1.41"
"08 Jul 2013","17.71","2.98","1.42"
"05 Jul 2013","17.87","3","1.41"
"04 Jul 2013","17.77","2.99","1.42"
"03 Jul 2013","17.57","2.98","1.42"
"02 Jul 2013","17.84","3.05","1.41"
"01 Jul 2013","17.96","3.07","1.4"
"28 Jun 2013","17.76","3.04","1.43"
"27 Jun 2013","17.28","2.98","1.46"
"26 Jun 2013","16.96","2.95","1.48"
"25 Jun 2013","17.03","2.96","1.48"
"24 Jun 2013","16.97","2.95","1.48"
"21 Jun 2013","17.2","2.99","1.46"
"20 Jun 2013","17.17","2.99","1.47"
"19 Jun 2013","17.68","3.07","1.42"
"18 Jun 2013","17.64","3.07","1.43"
"17 Jun 2013","17.75","3.09","1.42"
"14 Jun 2013","17.53","3.07","1.43"
"13 Jun 2013","17.2","3.01","1.45"
"12 Jun 2013","17.38","3.04","1.44"
"11 Jun 2013","17.47","3.06","1.43"
"10 Jun 2013","17.73","3.1","1.41"
"07 Jun 2013","17.76","3.1","1.41"
"06 Jun 2013","17.89","3.12","1.4"
"05 Jun 2013","17.77","3.12","1.4"
"04 Jun 2013","17.75","3.12","1.4"
"03 Jun 2013","17.81","3.13","1.4"
"31 May 2013","17.95","3.16","1.39"
"30 May 2013","18.37","3.23","1.36"
"29 May 2013","18.31","3.22","1.36"
"28 May 2013","18.25","3.22","1.36"
"27 May 2013","18.19","3.21","1.36"
"24 May 2013","17.88","3.15","1.39"
"23 May 2013","17.77","3.15","1.39"
"22 May 2013","18.15","3.21","1.36"
"21 May 2013","18.24","3.22","1.36"
"20 May 2013","18.37","3.25","1.35"
"17 May 2013","18.38","3.26","1.34"
"16 May 2013","18.33","3.25","1.35"
"15 May 2013","18.33","3.24","1.35"
"14 May 2013","17.88","3.16","1.38"
"13 May 2013","17.79","3.15","1.39"
